phenotype1	phenotype2	lin
Nonprogressive cerebellar ataxia	Glyoxalase deficiency	4.433252921306609e-05
Absent nasal bridge	Numerous pigmented freckles	4.5466147121112386e-05
Spastic tetraparesis	Plantar pits	5.3190049680399243e-05
Hypoplasia of olfactory tract	Facial paralysis	0.128272928947596
Tapered finger	Hypoplasia of the ventral pons	5.447813650210291e-05
Arrhinencephaly	Anterior radial head dislocation	4.5466147121112386e-05
Spondyloepiphyseal dysplasia	Urogenital sinus anomaly	5.232854831112207e-05
Reticulocytopenia	Increased urinary porphobilinogen	4.982193529809303e-05
Foot osteomyelitis	Decreased plasma free carnitine	4.5466147121112386e-05
Episodic hemolytic anemia	Eruptive vellus hair cyst	8.650813128311028e-05
Focal segmental glomerulosclerosis	Impaired sensitivity to thyroid hormone	5.6607690444732815e-05
Peters anomaly	Increased CSF albumin concentration	4.787715215794353e-05
Diaphyseal thickening	Palmoplantar scaling skin	4.325406564155514e-05
Chronic metabolic acidosis	Facial paralysis	4.5130913499260864e-05
Peters anomaly	Positive Romberg sign	5.83754181984074e-05
Arterial fibromuscular dysplasia	Nonarteritic anterior ischemic optic neuropathy	4.433252921306609e-05
Narrow nose	Ovarian papillary adenocarcinoma	4.885073886735671e-05
Decreased cranial base ossification	Tibialis muscle weakness	0.059020155609242723
Frontal cortical atrophy	Generalized ichthyosis	4.846394887683536e-05
Wide nasal bridge	Recurrent thromboembolism	5.919576151454689e-05
Prelingual sensorineural hearing impairment	Central hypoventilation	5.406232789246244e-05
Generalized amyloid deposition	Frontotemporal cerebral atrophy	4.697961363490384e-05
Protruding ear	Polyhydramnios	9.007937162598175e-05
Loss of facial expression	Coronary sinus enlargement	4.2520165072717376e-05
Osteoarthritis of the distal interphalangeal joint	Transient hyperlipidemia	3.993272169545075e-05
Polycystic kidney dysplasia	Atrial septal dilatation	5.273181452598613e-05
Segmental peripheral demyelination	Progressive ophthalmoplegia	4.513091349926087e-05
Mitochondrial malic enzyme reduced	Dysfunctional alternative complement pathway	4.325406564155514e-05
Periodic hyperkalemic paralysis	Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	4.513091349926087e-05
Overlapping toe	Vitamin B12 deficiency	5.9926544047086524e-05
Polysplenia	Acute demyelinating polyneuropathy	4.803278487698834e-05
Progressive truncal ataxia	EMG: myokymic discharges	0.14982598295569577
Visual hallucinations	Molybdenum cofactor deficiency	4.754448578692532e-05
Horizontal ribs	Hypoplasia of the frontal lobes	5.2731814525986136e-05
Dysgenesis of the cerebellar vermis	Tricuspid regurgitation	5.71459570956391e-05
Type B brachydactyly	Abnormal alpha granule content	4.2520165072717376e-05
Increased mean corpuscular volume	Aplasia of the tarsal bones	4.63062709617351e-05
Congenital blindness	Pilomatrixoma	4.433252921306609e-05
Acrocyanosis	Decreased circulating dihydrotestosterone concentration	4.5130913499260864e-05
Poliosis	Factor X activation deficiency	4.2520165072717376e-05
Nocturia	Abnormality of tumor necrosis factor secretion	9.435605386316377e-05
Hyponatremia	Hypoplastic left atrium	5.068044793030368e-05
Elevated circulating creatinine concentration	Episodic hypokalemia	0.7524358320806529
Biliary tract obstruction	Enlarged proximal interphalangeal joints	4.1527089114850486e-05
Kernicterus	Pure red cell aplasia	4.63062709617351e-05
Difficulty standing	Generalized hypotrichosis	4.717802693158188e-05
Malignant eosinophil proliferation	Notched T wave	3.993272169545075e-05
Mild postnatal growth retardation	Monocytosis	5.08325315417379e-05
Velopharyngeal insufficiency	Arrhinencephaly	5.510074585337536e-05
Elevated urinary delta-aminolevulinic acid	Postprandial hyperglycemia	0.16294147259678096
Gastroschisis	Increased CD4:CD8 ratio	4.513091349926087e-05
Mild postnatal growth retardation	Patent foramen ovale	6.163074123412542e-05
Recurrent encephalopathy	Simple ear	4.8726132196001617e-05
Motor deterioration	Posterior lenticonus	4.433252921306609e-05
Radially deviated wrists	Lingual dystonia	4.325406564155514e-05
Anterior concavity of thoracic vertebrae	Parotitis	4.433252921306609e-05
Neonatal alloimmune thrombocytopenia	Hypoesthesia	0.00010875500214216927
Large vessel vasculitis	Bounding pulse	0.4079255292931024
Petechiae	Long hallux	5.9655103675612194e-05
Elevated circulating follicle stimulating hormone level	Violent behavior	0.08205158774352742
Vacuolated lymphocytes	Antimitochondrial antibody positivity	0.2066739707475787
Anorexia	Sirenomelia	0.00010875500214216927
Situs inversus totalis	Fourth heart sound	0.17374946386389495
Myofibrillar myopathy	Abnormal cardiac exercise stress test	0.00010181308346727092
Absence of lymph node germinal center	Opsoclonus	4.697961363490384e-05
Aggressive behavior	Clumsiness	0.14535031879255203
Neurofibrillary tangles	Congenital megaureter	4.717802693158188e-05
Renal angiomyolipoma	High iliac wing	4.384100649655963e-05
Hyposthenuria	Anal canal squamous carcinoma	4.325406564155514e-05
Large hands	Hyperechogenic kidneys	6.269094057974886e-05
Hypomagnesemia	Positive carpal Tinel sign	4.818212141725109e-05
Reduced glutathione synthetase level	Hypomature dental enamel	4.325406564155514e-05
Congenital adrenal hyperplasia	Type 2 muscle fiber predominance	4.754448578692532e-05
Hypoplasia of the epiglottis	Round ear	4.676934355271362e-05
Anal atresia	Congenital exfoliative erythroderma	5.310200520062155e-05
T-cell acute lymphoblastic leukemias	Metrorrhagia	4.325406564155514e-05
Trigonocephaly	White eyelashes	0.13839213821334578
Preauricular pit	Acute infectious pneumonia	0.0001381043439287552
Elevated circulating catecholamine level	Progressive extrapyramidal movement disorder	4.2520165072717376e-05
Chronic lymphocytic meningitis	Increased body mass index	4.1527089114850486e-05
Corpus callosum atrophy	Nevus anemicus	4.818212141725109e-05
Generalized joint laxity	Atrichia	4.818212141725109e-05
Pyoderma	Reticulated skin pigmentation	0.18768408650440818
Meckel diverticulum	Congenital alveolar dysplasia	4.577027209409902e-05
Hypoglycemic coma	Cerebellar Purkinje layer atrophy	0.15964373981646063
Absent eyebrow	Increased serum pyruvate	6.30535841707878e-05
Fetal akinesia sequence	Generalized ichthyosis	5.310200520062155e-05
Impaired renal uric acid clearance	Premature atrial contractions	4.433252921306609e-05
Tortuous cerebral arteries	Abnormality of central somatosensory evoked potentials	0.07076563803974453
Partial agenesis of the corpus callosum	Tegumentary leishmaniasis susceptibility	5.018735786356822e-05
Elevated circulating thyroid-stimulating hormone concentration	Abnormal cricoid cartilage morphology	0.00011156653281398589
Testicular dysgenesis	Hyaline membranes	4.2520165072717376e-05
Decreased T cell activation	Extraadrenal pheochromocytoma	4.754448578692532e-05
Unilateral renal dysplasia	Erythroid dysplasia	4.433252921306609e-05
Acanthosis nigricans	Phalangeal dislocation	5.4025992647717224e-05
Congenital lactic acidosis	Hypoplasia of the primary teeth	4.325406564155514e-05
Deficit in phonologic short-term memory	Increased hepatic glycogen content	4.676934355271362e-05
Type IV atherosclerotic lesion	Unicornuate uterus	4.2520165072717376e-05
Rectovaginal fistula	Spastic tetraparesis	6.407532599675724e-05
Decreased size of nerve terminals	Renal calcium wasting	4.433252921306609e-05
Episodic ataxia	Moyamoya phenomenon	0.08340242887086272
Torsade de pointes	Long uvula	0.00011156653281398589
Pancreatic hypoplasia	Mobitz I atrioventricular block	0.0001072135125263395
Peripheral axonal atrophy	Diffuse telangiectasia	4.513091349926087e-05
Malignant genitourinary tract tumor	Mandibular osteomyelitis	4.1527089114850486e-05
Transverse vaginal septum	Elevated hemoglobin A1c	4.982193529809303e-05
Elevated circulating creatinine concentration	Ventricular escape rhythm	5.211234515883935e-05
Reticular retinal dystrophy	HbH hemoglobin	4.2520165072717376e-05
Epiphyseal dysplasia	Focal cortical dysplasia type I	4.94196762868381e-05
Limbal dermoid	Subungual hyperkeratosis	4.846394887683536e-05
Peroneal muscle atrophy	Subarterial ventricular septal defect	9.964387059618607e-05
Axial muscle stiffness	Reduced brain glutamine level by MRS	3.993272169545075e-05
Neurofibrillary tangles	Total ophthalmoplegia	4.94196762868381e-05
Orthostatic hypotension due to autonomic dysfunction	Elevated urinary dopamine	4.325406564155514e-05
Primary hypothyroidism	Multiple renal cysts	4.846394887683536e-05
Small intestine carcinoid	Cerebellar cortical atrophy	0.11802999182626657
Gonadal hypoplasia	Pulmonary lymphangiomyomatosis	4.2520165072717376e-05
Hypoplasia of facial musculature	Multiple digital exostoses	0.059020155609242723
Hypoplasia of the pyramidal tract	Palmomental reflex	0.06511481220502778
Absence of CD8-positive T cells	Hypertrophied muscle fibers	4.1527089114850486e-05
Exertional dyspnea	Thickened Achilles tendon	4.717802693158188e-05
Loss of facial expression	Osteoma cutis	3.993272169545075e-05
Tethered cord	Acral blistering	5.125821869171633e-05
Chronic metabolic acidosis	Medial rotation of the medial malleolus	3.993272169545075e-05
Excessive daytime somnolence	C2-C3 subluxation	4.717802693158188e-05
Uterus didelphys	Macrogyria	4.803278487698834e-05
Lacrimal gland hypoplasia	Absent retinal pigment epithelium	4.325406564155514e-05
Exercise-induced hemolysis	Femur fracture	4.325406564155514e-05
Congenital hepatic fibrosis	Retinal dysplasia	5.060226372522096e-05
Small scrotum	Preaxial hand polydactyly	6.476752764420787e-05
Hypoketotic hypoglycemia	Capillary fragility	4.384100649655963e-05
Iris coloboma	Limited elbow flexion/extension	5.498236436259655e-05
Hip contracture	Acute necrotizing encephalopathy	5.060226372522096e-05
Polyphagia	Upper limb postural tremor	0.09978347503591256
Increased circulating ACTH level	Acute hyperammonemia	4.63062709617351e-05
Agenesis of pulmonary vessels	Peripheral retinal atrophy	4.325406564155514e-05
Cystoid macular degeneration	Reduced amygdala volume	4.2520165072717376e-05
Hypoplastic pelvis	Growth arrest lines	0.1889553363121571
Angina pectoris	Gonadal tissue inappropriate for external genitalia or chromosomal sex	4.6048912897620735e-05
Curly hair	T-cell acute lymphoblastic leukemias	5.554805395325241e-05
Restrictive ventilatory defect	Axial dystonia	5.966771492254429e-05
Tricuspid valve prolapse	Cleft of chin	4.63062709617351e-05
Alzheimer disease	Increased circulating interleukin 6 concentration	5.125821869171633e-05
Intimal thickening in the coronary arteries	Congenital conductive hearing impairment	4.1527089114850486e-05
Anodontia	Prolonged P wave	4.8463948876835354e-05
Reduced factor XI activity	Congenital aphakia	4.6048912897620735e-05
Deep anterior chamber	Polymorphous posterior corneal dystrophy	0.24587289593083078
Premature osteoarthritis	Late-onset proximal muscle weakness	0.07099196642306733
Increased LDL cholesterol concentration	Medulloepithelioma	0.00011639875847926845
Olivopontocerebellar atrophy	Increased level of propylene glycol in blood	4.5130913499260864e-05
Mask-like facies	Peribronchovascular interstitial thickening	0.00012051018798269027
Narrow maxilla	Zollinger-Ellison syndrome	4.433252921306609e-05
Reduced xanthine dehydrogenase level	Absent thumb	5.232854831112207e-05
Insulin-resistant diabetes mellitus at puberty	Bacteremia	0.2964752288212141
Rapid neurologic deterioration	Furuncle	3.993272169545075e-05
Thiamine-responsive megaloblastic anemia	Decreased circulating free fatty acid level	7.98654433909015e-05
Hypoplasia of facial musculature	Chronic tubulointerstitial nephritis	4.1527089114850486e-05
Aortic valve stenosis	Macular exudate	0.0001409491337570354
Testicular atrophy	Acute megakaryocytic leukemia	4.697961363490384e-05
Trigonocephaly	Circulating nucleated red blood cells	5.044130633155607e-05
Retrocerebellar cyst	Impaired clot retraction	4.63062709617351e-05
Rectal abscess	Reduced MHC II surface expression	0.4717036496856875
Chronic axonal neuropathy	Atrial reentry tachycardia	4.433252921306609e-05
Difficulty walking	Pancreatic calcification	0.08398115997531684
Pancreatic hypoplasia	Peripapillary atrophy	5.319004968039925e-05
Hyperkalemia	Severe influenza infection	5.068044793030368e-05
Anhidrosis	Bladder exstrophy	5.610498254818471e-05
Hyperactive renin-angiotensin system	Chronic hemolytic anemia	4.9202003447767416e-05
Mandibular hyperostosis	Finger agnosia	7.98654433909015e-05
Cartilaginous ossification of larynx	Maintenance insomnia	4.1527089114850486e-05
Type IV atherosclerotic lesion	Severe short stature	5.301223762921065e-05
High-output congestive heart failure	Hypertrophic nerve changes	4.63062709617351e-05
Bilateral sensorineural hearing impairment	Negative affectivity	0.00013106668299959337
Heparan sulfate excretion in urine	Anterior plagiocephaly	4.885073886735671e-05
White eyebrow	Absence of CD8-positive T cells	4.818212141725109e-05
Metaphyseal chondrodysplasia	Clear cell renal cell carcinoma	0.0001072135125263395
Hereditary nonpolyposis colorectal carcinoma	Abnormal liver lobulation	0.15107272735929947
Secretory diarrhea	Autonomic bladder dysfunction	4.577027209409902e-05
Salmonella osteomyelitis	Visual acuity no light perception	8.650813128311028e-05
Hyperphosphaturia	Decreased serum insulin-like growth factor 1	5.605677800716349e-05
Giant somatosensory evoked potentials	Ureteral atresia	4.7178026931581885e-05
Uterine leiomyosarcoma	Prominent U wave	4.1527089114850486e-05
Irregularity of vertebral bodies	Chronic irritative conjunctivitis	3.993272169545075e-05
Periventricular leukomalacia	Mild intrauterine growth retardation	5.0522571453449456e-05
Axial muscle weakness	Lateral femoral bowing	0.07417640333446128
Phonophobia	Spondylolysis	5.376354883792309e-05
Microvesicular hepatic steatosis	Axonal loss	5.846917057817125e-05
Midgut malrotation	Increased placental thickness	8.650813128311028e-05
Torsion dystonia	B Acute Lymphoblastic Leukemia	4.5466147121112386e-05
Autonomic bladder dysfunction	Reduced beta-hexosaminidase activity	3.993272169545075e-05
Concentric hypertrophic cardiomyopathy	Increased circulating very long-chain fatty acid concentration	4.885073886735671e-05
Intractable diarrhea	Frequent Giardia lamblia infestation	0.21493836575918113
Decreased methionine synthase activity	Reduced alpha/beta synthesis ratio	4.846394887683536e-05
Polycystic kidney dysplasia	Epiretinal membrane	5.434348495495776e-05
Hyposthenuria	Maternal virilization in pregnancy	4.325406564155514e-05
Bell-shaped thorax	Rickets of the lower limbs	0.1096421204281625
Frontal release signs	Distal tibial bowing	4.384100649655963e-05
Reduced acetaldehyde dehydrogenase level	Decreased serum zinc	0.14231902903222202
Nasal mucosa telangiectasia	Generalized bone demineralization	4.5466147121112386e-05
Total ophthalmoplegia	Absent tonsils	4.325406564155514e-05
Progressive ptosis	Decreased plasma free carnitine	4.2520165072717376e-05
Abnormal vertebral segmentation and fusion	Nonarteritic anterior ischemic optic neuropathy	4.325406564155514e-05
Ovarian gonadoblastoma	Pseudopapilledema	4.513091349926087e-05
Decreased corneal reflex	Schmorl's node	4.513091349926087e-05
Multiple small vertebral fractures	Blue cone monochromacy	4.1527089114850486e-05
Inflexible adherence to routines or rituals	Gaze-evoked horizontal nystagmus	5.4239971789166777e-05
Absence of subcutaneous fat	Retinal vascular proliferation	4.5130913499260864e-05
Generalized muscle weakness	Hallux varus	0.08507718169953496
Congenital knee dislocation	Reduced plasminogen activator inhibitor 1 activity	7.98654433909015e-05
